account_rewards,date
385.6774841308652,2023-04-05
-1452.594612121582,2023-04-06
-810.1457351684512,2023-04-10
-398.2489440917998,2023-04-11
3508.7839401245146,2023-04-12
-207.59106750489445,2023-04-13
-3.519831848127069,2023-04-14
660.7088455200137,2023-04-17
732.2928710937558,2023-04-18
-551.8434494018584,2023-04-19
-1068.8248107910185,2023-04-20
152.86117248535447,2023-04-21
-1023.5063308715762,2023-04-24
-21.75190124512301,2023-04-25
2985.5538116455136,2023-04-26
676.7697143554688,2023-04-27
-74.97854309082322,2023-04-28
-590.263002014166,2023-05-01
-720.418919372547,2023-05-02
-923.1561553955107,2023-05-03
5005.930838012704,2023-05-04
-55.49781799316406,2023-05-05
-1134.0635314941464,2023-05-08
960.4015945434512,2023-05-09
105.39413909913856,2023-05-10
-531.3168380737334,2023-05-11
-340.4017349243222,2023-05-12
-17.139317321780254,2023-05-15
383.6530410766718,2023-05-16
1273.3460006713867,2023-05-17
53.66706542969041,2023-05-18
-542.4132720947237,2023-05-19
-1723.967170715332,2023-05-22
136.01928558349027,2023-05-23
726.2983581543085,2023-05-24
1317.0612060546846,2023-05-25
1191.3796127319365,2023-05-26
-45.00303192139836,2023-05-30
1818.2533828735468,2023-05-31
452.35084075927443,2023-06-01
-903.6549118042021,2023-06-02
-220.21048278808303,2023-06-05
-916.4247589111328,2023-06-06
1486.098599243167,2023-06-07
234.13333587646775,2023-06-08
1529.530920410165,2023-06-09
-328.60587005615525,2023-06-12
331.71855316161236,2023-06-13
1313.3573043823271,2023-06-14
-614.5818634033203,2023-06-15
39.760594177249004,2023-06-16
-592.6097137451143,2023-06-20
1946.8779907226562,2023-06-21
-193.6235443115147,2023-06-22
-930.0723663330136,2023-06-23
1507.2206954956055,2023-06-26
750.5393524169922,2023-06-27
167.60580140686943,2023-06-28
2816.9210876464786,2023-06-29
-847.8555066680856,2023-06-30
-750.5955681457563,2023-07-03
244.5679409942677,2023-07-05
