account_rewards,date
0.0,2024-02-15
0.0,2024-02-16
0.0,2024-02-20
186.76677856445895,2024-02-21
-221.61757958984526,2024-02-22
-89.83123565673304,2024-02-23
55.53916876220319,2024-02-26
-7.305200195318321,2024-02-27
0.0,2024-02-28
-127.07463378905959,2024-02-29
-307.0682789917046,2024-03-01
-165.31375177002337,2024-03-04
-55.40239990234841,2024-03-05
-17.515235473634675,2024-03-06
313.52918395996676,2024-03-07
300.3821795806871,2024-03-08
84.63468823242874,2024-03-11
-206.32217559815035,2024-03-12
-15.401700439455453,2024-03-13
