account_value,date,daily_return
100000.0,2024-02-15,
100000.0,2024-02-16,0.0
100000.0,2024-02-20,0.0
100000.0,2024-02-21,0.0
100186.76677856446,2024-02-22,0.0018676677856446222
99965.14919897461,2024-02-23,-0.0022120444317728083
99875.31796331788,2024-02-26,-0.0008986255347643857
99930.85713208008,2024-02-27,0.0005560850257577687
99923.55193188477,2024-02-28,-7.31025471507607e-05
99923.55193188477,2024-02-29,0.0
99796.4772980957,2024-03-01,-0.001271718542147915
99489.409019104,2024-03-04,-0.0030769450716630065
99324.09526733398,2024-03-05,-0.0016616216077660617
99268.69286743163,2024-03-06,-0.0005577941561232258
99251.177631958,2024-03-07,-0.000176442692733203
99564.70681591796,2024-03-08,0.003158946739378665
99865.08899549865,2024-03-11,0.0030169543926448217
99949.72368373108,2024-03-12,0.0008474902399200346
99743.40150813293,2024-03-13,-0.002064259589661388
99727.99980769347,2024-03-14,-0.0001544132264047482
