,date,actions
0,2023-06-27,[0]
1,2023-06-28,[0]
2,2023-06-29,[0]
3,2023-06-30,[0]
4,2023-07-03,[0]
5,2023-07-05,[0]
6,2023-07-06,[0]
7,2023-07-07,[0]
8,2023-07-10,[0]
9,2023-07-11,[0]
10,2023-07-12,[0]
11,2023-07-13,[0]
12,2023-07-14,[0]
13,2023-07-17,[0]
14,2023-07-18,[0]
15,2023-07-19,[0]
16,2023-07-20,[0]
17,2023-07-21,[0]
18,2023-07-24,[0]
19,2023-07-25,[0]
20,2023-07-26,[0]
21,2023-07-27,[0]
22,2023-07-28,[0]
23,2023-07-31,[0]
24,2023-08-01,[0]
25,2023-08-02,[0]
26,2023-08-03,[0]
27,2023-08-04,[-596]
28,2023-08-07,[100]
29,2023-08-08,[100]
