account_rewards,date
-410.462630004884,2023-05-11
-281.6358047485264,2023-05-12
-0.1713931732228957,2023-05-15
249.64388580321975,2023-05-16
1233.3837051391602,2023-05-17
53.619071289067506,2023-05-18
-512.673033996587,2023-05-19
-1347.9210080718913,2023-05-22
97.81205596923246,2023-05-23
488.49997045898635,2023-05-24
1187.161688354492,2023-05-25
879.5714815826359,2023-05-26
-46.02174183653551,2023-05-30
1503.7080084686168,2023-05-31
502.1378647155798,2023-06-01
-700.3282058715849,2023-06-02
-239.00552673338098,2023-06-05
-830.731201171875,2023-06-06
1643.5089111328125,2023-06-07
218.8757755279512,2023-06-08
1320.9350646972598,2023-06-09
-220.32028364563303,2023-06-12
333.6309982299863,2023-06-13
1056.6519848938042,2023-06-14
-662.8050323486386,2023-06-15
53.51829528808594,2023-06-16
-565.79532312011,2023-06-20
1463.7510232543864,2023-06-21
-205.41752014159283,2023-06-22
-838.9022424316354,2023-06-23
