account_value,date,daily_return
111682.35290252691,2023-06-27,
112388.80242645269,2023-06-28,0.0063255250768432525
112590.64904510503,2023-06-29,0.0017959673410030685
115190.86456024175,2023-06-30,0.02309441802840162
114294.45458709722,2023-07-03,-0.007781953686750276
113623.61810028082,2023-07-05,-0.00586937038406532
113908.56786834722,2023-07-06,0.0025078392400330607
113237.73138153082,2023-07-07,-0.005889253981243514
112008.87243377691,2023-07-10,-0.010852027259478758
111694.2390719605,2023-07-11,-0.0028090039206708495
112697.515439148,2023-07-12,0.008982346587643741
113154.61913787847,2023-07-13,0.004056022858616393
113243.67901336675,2023-07-14,0.000787063543378208
115202.74163543707,2023-07-17,0.017299531763173004
115048.38512908941,2023-07-18,-0.0013398683412945145
115861.69195281988,2023-07-19,0.007069258928040556
114692.20019256597,2023-07-20,-0.0100938605378742
113985.75066864019,2023-07-21,-0.006159525431892243
114466.599423523,2023-07-24,0.004218498821669803
114983.08849823003,2023-07-25,0.004512137840279928
115505.49792205816,2023-07-26,0.004543358772591821
114745.61974823003,2023-07-27,-0.006578718654075555
116295.06878387457,2023-07-28,0.01350333929124492
116663.13079559332,2023-07-31,0.003164897837609759
116164.45733367925,2023-08-01,-0.004274473507725363
114365.68066131597,2023-08-02,-0.015484742180616795
113528.62878143316,2023-08-03,-0.007319082744426386
108078.87920867925,2023-08-04,-0.048003306577813376
107970.83981250005,2023-08-07,-0.0009996346832076286
108047.64949114996,2023-08-08,0.0007113928055324514
107709.01267779547,2023-08-09,-0.0031341432687272963
