account_rewards,date
0.0,2023-01-04
75.55555669403111,2023-01-05
48.713221740719746,2023-01-06
112.07664489746094,2023-01-09
557.5066902771068,2023-01-10
-19.555270660406677,2023-01-11
41.72181854248629,2023-01-12
-5.487446105951676,2023-01-13
-19.780769989010878,2023-01-17
-4.233641433718731,2023-01-18
277.5406275939895,2023-01-19
655.6325469970761,2023-01-20
356.8523384094151,2023-01-23
-157.01734149169351,2023-01-24
674.184603881833,2023-01-25
651.0998764801043,2023-01-26
-1213.4262255859358,2023-01-27
426.6597154540941,2023-01-30
433.55392663575185,2023-01-31
2332.4266431884753,2023-02-01
1509.6674579009996,2023-02-02
-1429.4013946533087,2023-02-03
1666.6049531249882,2023-02-06
-1370.2205070648197,2023-02-07
-433.2637039184483,2023-02-08
148.88162890625244,2023-02-09
1417.2294219970645,2023-02-10
-307.0781043090683,2023-02-13
1162.15419296264,2023-02-14
-954.3703827819845,2023-02-15
-716.1903459472669,2023-02-16
-2531.4644698486227,2023-02-17
284.11564239501604,2023-02-21
270.31486358641996,2023-02-22
-1613.3006985626125,2023-02-23
756.2767312622018,2023-02-24
-285.66602561950276,2023-02-27
-1133.1758665466332,2023-02-28
249.33927001953998,2023-03-01
2109.5886550445575,2023-03-02
1088.3260032653634,2023-03-03
-663.0070159911993,2023-03-06
235.94769665527565,2023-03-07
-237.45989379883395,2023-03-08
-210.4170532379212,2023-03-09
379.0951156616211,2023-03-10
619.7664566040039,2023-03-13
108.76669494628732,2023-03-14
1068.6579299926816,2023-03-15
-330.1355965576222,2023-03-16
971.0697816009633,2023-03-17
886.3396750488319,2023-03-20
-563.9199096679658,2023-03-21
501.0640222320653,2023-03-22
733.9076904296817,2023-03-23
-938.8802856445254,2023-03-24
-269.82029809571395,2023-03-27
1361.9066072845453,2023-03-28
575.7238699645968,2023-03-29
1010.6483785858145,2023-03-30
559.4945392456139,2023-03-31
-203.9852706909296,2023-04-03
