,date,actions
0,2023-03-28,[73]
1,2023-03-29,[-37]
2,2023-03-30,[64]
3,2023-03-31,[100]
4,2023-04-03,[56]
5,2023-04-04,[100]
6,2023-04-05,[-3]
7,2023-04-06,[100]
8,2023-04-10,[100]
9,2023-04-11,[61]
10,2023-04-12,[-50]
11,2023-04-13,[-66]
12,2023-04-14,[100]
13,2023-04-17,[-89]
14,2023-04-18,[-60]
15,2023-04-19,[43]
16,2023-04-20,[-30]
17,2023-04-21,[91]
18,2023-04-24,[59]
19,2023-04-25,[0]
20,2023-04-26,[-71]
21,2023-04-27,[-44]
22,2023-04-28,[-100]
23,2023-05-01,[-57]
24,2023-05-02,[-37]
25,2023-05-03,[100]
26,2023-05-04,[-1]
27,2023-05-05,[10]
28,2023-05-08,[26]
29,2023-05-09,[-47]
