account_rewards,date
-282.43117370604887,2023-02-23
226.11734161377535,2023-02-24
-166.8969955444336,2023-02-27
-850.2035064697266,2023-02-28
283.96228790283203,2023-03-01
3041.1688400268613,2023-03-02
1881.8776232910168,2023-03-03
-1508.355712890625,2023-03-06
859.00634765625,2023-03-07
-1542.1710205078125,2023-03-08
-1413.643798828125,2023-03-09
1332.48291015625,2023-03-10
1433.9495849609375,2023-03-13
270.5535888671875,2023-03-14
1934.4866943359375,2023-03-15
-574.932861328125,2023-03-16
1623.321533203125,2023-03-17
1271.617431640625,2023-03-20
-980.7684326171875,2023-03-21
744.0301513671875,2023-03-22
892.8424072265625,2023-03-23
-1332.4932861328125,2023-03-24
-426.141357421875,2023-03-27
2110.34912109375,2023-03-28
1075.4595947265625,2023-03-29
1718.0230712890625,2023-03-30
859.027099609375,2023-03-31
-365.2447509765625,2023-04-03
-1264.852294921875,2023-04-04
608.7481689453125,2023-04-05
-1778.9093017578125,2023-04-06
-831.9561767578125,2023-04-10
-473.4765625,2023-04-11
3693.0902099609375,2023-04-12
-236.7279052734375,2023-04-13
13.5198974609375,2023-04-14
838.731689453125,2023-04-17
784.6002197265625,2023-04-18
-662.85888671875,2023-04-19
-1102.509765625,2023-04-20
209.677734375,2023-04-21
-1055.1641845703125,2023-04-24
-6.76513671875,2023-04-25
3145.2178955078125,2023-04-26
858.9959716796875,2023-04-27
-60.8551025390625,2023-04-28
-710.235595703125,2023-05-01
-737.2650146484375,2023-05-02
-1122.7947998046875,2023-05-03
5262.3321533203125,2023-05-04
-47.3663330078125,2023-05-05
-1170.1507568359375,2023-05-08
1210.7415771484375,2023-05-09
128.5064697265625,2023-05-10
-636.6802978515625,2023-05-11
-338.6614990234375,2023-05-12
0.0,2023-05-15
419.9365234375,2023-05-16
1598.4814453125,2023-05-17
