,date,actions
0,2023-07-07,[98]
1,2023-07-10,[-93]
2,2023-07-11,[25]
3,2023-07-12,[18]
4,2023-07-13,[-77]
5,2023-07-14,[-100]
6,2023-07-17,[100]
7,2023-07-18,[100]
8,2023-07-19,[23]
9,2023-07-20,[-50]
10,2023-07-21,[50]
11,2023-07-24,[-45]
12,2023-07-25,[-22]
13,2023-07-26,[-88]
14,2023-07-27,[66]
15,2023-07-28,[62]
16,2023-07-31,[-63]
17,2023-08-01,[-100]
18,2023-08-02,[-38]
19,2023-08-03,[-81]
20,2023-08-04,[100]
21,2023-08-07,[100]
22,2023-08-08,[-16]
23,2023-08-09,[100]
24,2023-08-10,[-14]
25,2023-08-11,[3]
26,2023-08-14,[47]
27,2023-08-15,[13]
28,2023-08-16,[-16]
29,2023-08-17,[0]
30,2023-08-18,[16]
31,2023-08-21,[-100]
32,2023-08-22,[55]
33,2023-08-23,[43]
34,2023-08-24,[0]
35,2023-08-25,[0]
36,2023-08-28,[0]
37,2023-08-29,[-23]
38,2023-08-30,[-100]
39,2023-08-31,[100]
40,2023-09-01,[22]
41,2023-09-05,[0]
42,2023-09-06,[-39]
43,2023-09-07,[-89]
44,2023-09-08,[0]
45,2023-09-11,[-67]
46,2023-09-12,[-29]
47,2023-09-13,[-86]
48,2023-09-14,[100]
49,2023-09-15,[39]
50,2023-09-18,[100]
51,2023-09-19,[71]
52,2023-09-20,[0]
53,2023-09-21,[-86]
54,2023-09-22,[83]
55,2023-09-25,[-100]
56,2023-09-26,[-81]
57,2023-09-27,[23]
58,2023-09-28,[71]
59,2023-09-29,[93]
60,2023-10-02,[0]
61,2023-10-03,[0]
