account_rewards,date
404.26715393066115,2023-11-09
-338.2054779052705,2023-11-10
772.5317092895566,2023-11-13
208.9837448120088,2023-11-14
830.1533203125,2023-11-15
-14.400966888424591,2023-11-16
990.0045150756923,2023-11-17
-525.3531417389022,2023-11-20
430.6511942749057,2023-11-21
-865.8719177246094,2023-11-22
-116.31704711914062,2023-11-24
394.1669006347656,2023-11-27
-665.5601806640625,2023-11-28
374.7774353027344,2023-11-29
833.5791778564453,2023-11-30
-1169.5875549316406,2023-12-01
2578.2460327148438,2023-12-04
-710.7858123779297,2023-12-05
1260.038818359375,2023-12-06
930.4870147705078,2023-12-07
-1634.8261260986328,2023-12-08
988.6554107666016,2023-12-11
2100.064697265625,2023-12-12
96.92758178710938,2023-12-13
-348.931396484375,2023-12-14
-1085.582992553711,2023-12-15
678.4930725097656,2023-12-18
-1363.432846069336,2023-12-19
-96.93745422363281,2023-12-20
-697.8529205322266,2023-12-21
-355.39784240722656,2023-12-22
64.605224609375,2023-12-26
277.85972595214844,2023-12-27
-678.4832000732422,2023-12-28
-4452.1529541015625,2023-12-29
-119.95600747680874,2024-01-02
0.0,2024-01-03
-91.07583770752535,2024-01-04
856.7891235351562,2024-01-05
-128.04231912230898,2024-01-08
372.659878540042,2024-01-09
-302.03007049560256,2024-01-10
153.3141383361799,2024-01-11
-1317.6290969848633,2024-01-12
-632.8851354522631,2024-01-16
3868.521011352539,2024-01-17
1904.9915313720703,2024-01-18
1514.8941650390625,2024-01-19
838.7227478027344,2024-01-22
-442.11895751953125,2024-01-23
-214.5530548095703,2024-01-24
-1137.7997131347656,2024-01-25
-448.6154479980469,2024-01-26
-2399.132080078125,2024-01-29
-2366.619827270508,2024-01-30
1541.325048614497,2024-01-31
-660.7776935119618,2024-02-01
1189.8014373779297,2024-02-02
1053.2857360839844,2024-02-05
