,date,actions
0,2023-05-11,[40]
1,2023-05-12,[100]
2,2023-05-15,[1]
3,2023-05-16,[-100]
4,2023-05-17,[100]
5,2023-05-18,[72]
6,2023-05-19,[-83]
7,2023-05-22,[-9]
8,2023-05-23,[-100]
9,2023-05-24,[17]
10,2023-05-25,[64]
11,2023-05-26,[-19]
12,2023-05-30,[99]
13,2023-05-31,[-39]
14,2023-06-01,[66]
15,2023-06-02,[-100]
16,2023-06-05,[100]
17,2023-06-06,[0]
18,2023-06-07,[0]
19,2023-06-08,[-25]
20,2023-06-09,[-100]
21,2023-06-12,[-23]
22,2023-06-13,[100]
23,2023-06-14,[-34]
24,2023-06-15,[79]
25,2023-06-16,[0]
26,2023-06-20,[-68]
27,2023-06-21,[-43]
28,2023-06-22,[100]
29,2023-06-23,[10]
