,date,actions
0,2023-02-23,[100]
1,2023-02-24,[100]
2,2023-02-27,[100]
3,2023-02-28,[100]
4,2023-03-01,[100]
5,2023-03-02,[100]
6,2023-03-03,[80]
7,2023-03-06,[0]
8,2023-03-07,[0]
9,2023-03-08,[0]
10,2023-03-09,[0]
11,2023-03-10,[0]
12,2023-03-13,[0]
13,2023-03-14,[0]
14,2023-03-15,[0]
15,2023-03-16,[0]
16,2023-03-17,[0]
17,2023-03-20,[0]
18,2023-03-21,[0]
19,2023-03-22,[0]
20,2023-03-23,[0]
21,2023-03-24,[0]
22,2023-03-27,[0]
23,2023-03-28,[0]
24,2023-03-29,[0]
25,2023-03-30,[0]
26,2023-03-31,[0]
27,2023-04-03,[0]
28,2023-04-04,[0]
29,2023-04-05,[0]
30,2023-04-06,[0]
31,2023-04-10,[0]
32,2023-04-11,[0]
33,2023-04-12,[0]
34,2023-04-13,[0]
35,2023-04-14,[0]
36,2023-04-17,[0]
37,2023-04-18,[0]
38,2023-04-19,[0]
39,2023-04-20,[0]
40,2023-04-21,[0]
41,2023-04-24,[0]
42,2023-04-25,[0]
43,2023-04-26,[0]
44,2023-04-27,[0]
45,2023-04-28,[0]
46,2023-05-01,[0]
47,2023-05-02,[0]
48,2023-05-03,[0]
49,2023-05-04,[0]
50,2023-05-05,[0]
51,2023-05-08,[0]
52,2023-05-09,[0]
53,2023-05-10,[0]
54,2023-05-11,[0]
55,2023-05-12,[0]
56,2023-05-15,[0]
57,2023-05-16,[0]
58,2023-05-17,[0]
