,date,actions
0,2023-01-04,[0]
1,2023-01-05,[17]
2,2023-01-06,[100]
3,2023-01-09,[100]
4,2023-01-10,[-13]
5,2023-01-11,[-63]
6,2023-01-12,[-100]
7,2023-01-13,[-41]
8,2023-01-17,[23]
9,2023-01-18,[75]
10,2023-01-19,[10]
11,2023-01-20,[100]
12,2023-01-23,[50]
13,2023-01-24,[-28]
14,2023-01-25,[100]
15,2023-01-26,[3]
16,2023-01-27,[80]
17,2023-01-30,[-72]
18,2023-01-31,[48]
19,2023-02-01,[48]
20,2023-02-02,[-23]
21,2023-02-03,[100]
22,2023-02-06,[64]
23,2023-02-07,[-77]
24,2023-02-08,[-100]
25,2023-02-09,[6]
26,2023-02-10,[100]
27,2023-02-13,[-42]
28,2023-02-14,[90]
29,2023-02-15,[34]
30,2023-02-16,[28]
31,2023-02-17,[8]
32,2023-02-21,[60]
33,2023-02-22,[-100]
34,2023-02-23,[17]
35,2023-02-24,[30]
36,2023-02-27,[-97]
37,2023-02-28,[7]
38,2023-03-01,[-100]
39,2023-03-02,[-27]
40,2023-03-03,[-23]
41,2023-03-06,[-100]
42,2023-03-07,[-94]
43,2023-03-08,[-100]
44,2023-03-09,[3]
45,2023-03-10,[100]
46,2023-03-13,[100]
47,2023-03-14,[-20]
48,2023-03-15,[100]
49,2023-03-16,[8]
50,2023-03-17,[19]
51,2023-03-20,[72]
52,2023-03-21,[-100]
53,2023-03-22,[91]
54,2023-03-23,[100]
55,2023-03-24,[-100]
56,2023-03-27,[-54]
57,2023-03-28,[23]
58,2023-03-29,[-69]
59,2023-03-30,[31]
60,2023-03-31,[47]
61,2023-04-03,[-100]
