,date,actions
0,2023-02-10,[0]
1,2023-02-13,[0]
2,2023-02-14,[0]
3,2023-02-15,[0]
4,2023-02-16,[0]
5,2023-02-17,[0]
6,2023-02-21,[0]
7,2023-02-22,[0]
8,2023-02-23,[0]
9,2023-02-24,[0]
10,2023-02-27,[0]
11,2023-02-28,[0]
12,2023-03-01,[0]
13,2023-03-02,[0]
14,2023-03-03,[0]
15,2023-03-06,[0]
16,2023-03-07,[0]
17,2023-03-08,[0]
18,2023-03-09,[0]
19,2023-03-10,[0]
20,2023-03-13,[0]
21,2023-03-14,[0]
22,2023-03-15,[0]
23,2023-03-16,[0]
24,2023-03-17,[0]
25,2023-03-20,[0]
26,2023-03-21,[0]
27,2023-03-22,[0]
28,2023-03-23,[0]
29,2023-03-24,[0]
