account_value,date,daily_return
100000.0,2023-03-28,
100215.10483802795,2023-03-29,0.0021510483802795743
100266.1234770813,2023-03-30,0.0005090913104945916
100508.43805862428,2023-03-31,0.002416714371114237
100744.68758865357,2023-04-03,0.0023505442387981024
100597.92756924439,2023-04-04,-0.0014567519431735176
99919.26513027956,2023-04-05,-0.006746286482867125
100234.793762146,2023-04-06,0.0031578357932782186
99033.3545775757,2023-04-10,-0.011986248881015182
98340.65303948976,2023-04-11,-0.006994628638408162
97903.38420224,2023-04-12,-0.004446470749733145
100958.4969593506,2023-04-13,0.031205384594261032
100774.25963769533,2023-04-14,-0.0018248817801779227
100769.72503533938,2023-04-17,-4.499762511034344e-05
101382.90521311952,2023-04-18,0.00608496428431371
101891.05065623476,2023-04-19,0.005012141268264658
101404.27542828371,2023-04-20,-0.00477740905423929
100650.24436688234,2023-04-21,-0.007435890234575471
100805.8161715088,2023-04-24,0.0015456674308647056
99846.46572593691,2023-04-25,-0.009516816410073736
99840.37710289004,2023-04-26,-6.09798554471741e-05
102331.11023011782,2023-04-27,0.024947152640068415
102951.57969673158,2023-04-28,0.0060633512645222876
102899.1549713898,2023-05-01,-0.0005092172990081023
102534.43743171694,2023-05-02,-0.003544417247879905
102199.72256750491,2023-05-03,-0.0032644141090151235
101517.6331372681,2023-05-04,-0.0066740829926057454
104628.42904293827,2023-05-05,0.03064291206891978
104598.01041958621,2023-05-08,-0.0002907300016860015
103839.80861788944,2023-05-09,-0.007248721067019348
104527.94873176578,2023-05-10,0.006626939350481198
