account_rewards,date
-1356.7498077697674,2023-07-07
-310.988762390145,2023-07-10
973.3426181793184,2023-07-11
456.00213247681677,2023-07-12
63.388237457271316,2023-07-13
1368.1275283813447,2023-07-14
-154.51413116454205,2023-07-17
829.4898559570283,2023-07-18
-1270.110899612424,2023-07-19
-714.8827224731504,2023-07-20
510.8223716735811,2023-07-21
511.3158130645752,2023-07-24
502.389073242186,2023-07-25
-641.7807290039054,2023-07-26
1432.7568100586068,2023-07-27
369.55449148558546,2023-07-28
-476.696411361685,2023-07-31
-1392.7112136840879,2023-08-01
-592.9446802368038,2023-08-02
-3087.76590142824,2023-08-03
-1381.7850082397345,2023-08-04
489.3717514038144,2023-08-07
-836.7570854492224,2023-08-08
-153.62934265135846,2023-08-09
33.78427304077195,2023-08-10
1013.8856742095813,2023-08-11
-1323.575874374379,2023-08-14
-589.4929259185883,2023-08-15
-1676.6783267822175,2023-08-16
319.1465759277344,2023-08-17
898.0113914794929,2023-08-18
771.3308395385684,2023-08-21
2411.353020401002,2023-08-22
-3161.158686950672,2023-08-23
1483.5600128173828,2023-08-24
1051.1336212158203,2023-08-25
2614.5064697265625,2023-08-28
2263.2190728454443,2023-08-29
100.64880676270695,2023-08-30
1002.5759002685518,2023-08-31
155.26967098999012,2023-09-01
-4510.438659667969,2023-09-05
-3352.88177915955,2023-09-06
316.93346955871675,2023-09-07
633.2024230957031,2023-09-08
-1449.507681838979,2023-09-11
-926.4903356780997,2023-09-12
528.3239311218204,2023-09-13
-349.5507278442383,2023-09-14
1454.6039441986068,2023-09-15
635.0549285888701,2023-09-18
-2390.793731765749,2023-09-19
-1036.2755126953125,2023-09-20
482.5978285827732,2023-09-21
838.5901165618852,2023-09-22
-2331.1233673095703,2023-09-25
-749.4472412109317,2023-09-26
127.05613789366907,2023-09-27
286.66140235902276,2023-09-28
1678.9642796630797,2023-09-29
-900.8164215087891,2023-10-02
840.7722015380859,2023-10-03
