account_rewards,date
215.10483802795352,2023-03-28
51.018639053349034,2023-03-29
242.31458154297434,2023-03-30
236.24953002929396,2023-03-31
-146.76001940917922,2023-04-03
-678.662438964835,2023-04-04
315.5286318664439,2023-04-05
-1201.4391845703067,2023-04-06
-692.7015380859375,2023-04-10
-437.2688372497505,2023-04-11
3055.11275711059,2023-04-12
-184.237321655266,2023-04-13
-4.534602355954121,2023-04-14
613.1801777801447,2023-04-17
508.14544311523787,2023-04-18
-486.77522795104596,2023-04-19
-754.0310614013724,2023-04-20
155.57180462646647,2023-04-21
-959.3504455718939,2023-04-24
-6.088623046875,2023-04-25
2490.7331272277806,2023-04-26
620.4694666137657,2023-04-27
-52.42472534178523,2023-04-28
-364.7175396728562,2023-05-01
-334.7148642120301,2023-05-02
-682.0894302368106,2023-05-03
3110.7959056701657,2023-05-04
-30.418623352059512,2023-05-05
-758.2018016967631,2023-05-08
688.1401138763322,2023-05-09
