account_value,date,daily_return
104601.84591804507,2023-05-11,
104191.38328804019,2023-05-12,-0.003924047672413722
103909.74748329166,2023-05-15,-0.0027030623441282042
103909.57609011844,2023-05-16,-1.6494426882118773e-06
104159.21997592166,2023-05-17,0.0024025108675904683
105392.60368106082,2023-05-18,0.01184133008507815
105446.22275234989,2023-05-19,0.0005087555427640833
104933.5497183533,2023-05-22,-0.004861938347480166
103585.62871028141,2023-05-23,-0.012845472317383533
103683.44076625064,2023-05-24,0.0009442628015783328
104171.94073670963,2023-05-25,0.004711456013118731
105359.10242506412,2023-05-26,0.011396175207631032
106238.67390664676,2023-05-30,0.008348319806617877
106192.65216481022,2023-05-31,-0.0004331919831470632
107696.36017327884,2023-06-01,0.014160188843714616
108198.49803799442,2023-06-02,0.004662533291818427
107498.16983212283,2023-06-05,-0.0064726240989562145
107259.16430538945,2023-06-06,-0.0022233450774709063
106428.43310421758,2023-06-07,-0.007745083663029506
108071.94201535039,2023-06-08,0.015442385678303028
108290.81779087834,2023-06-09,0.0020252784529111167
109611.7528555756,2023-06-12,0.012198033883612736
109391.43257192997,2023-06-13,-0.0020100060249553797
109725.06357015995,2023-06-14,0.0030498823389173424
110781.71555505376,2023-06-15,0.009629996561525411
110118.91052270512,2023-06-16,-0.0059829822008782285
110172.4288179932,2023-06-20,0.0004860045838996907
109606.6334948731,2023-06-21,-0.005135543703541412
111070.38451812748,2023-06-22,0.013354584267227354
110864.96699798589,2023-06-23,-0.00184943557216255
110026.06475555425,2023-06-26,-0.007566883075398212
