,date,actions
0,2023-10-02,[0]
1,2023-10-03,[0]
2,2023-10-04,[0]
3,2023-10-05,[0]
4,2023-10-06,[0]
5,2023-10-09,[0]
6,2023-10-10,[0]
7,2023-10-11,[0]
8,2023-10-12,[0]
9,2023-10-13,[0]
10,2023-10-16,[0]
11,2023-10-17,[0]
12,2023-10-18,[0]
13,2023-10-19,[0]
14,2023-10-20,[0]
15,2023-10-23,[0]
16,2023-10-24,[0]
17,2023-10-25,[0]
18,2023-10-26,[0]
19,2023-10-27,[0]
20,2023-10-30,[0]
21,2023-10-31,[0]
22,2023-11-01,[0]
23,2023-11-02,[0]
24,2023-11-03,[0]
25,2023-11-06,[0]
26,2023-11-07,[0]
27,2023-11-08,[0]
28,2023-11-09,[0]
29,2023-11-10,[0]
30,2023-11-13,[0]
31,2023-11-14,[0]
32,2023-11-15,[0]
33,2023-11-16,[0]
34,2023-11-17,[0]
35,2023-11-20,[0]
36,2023-11-21,[0]
37,2023-11-22,[0]
38,2023-11-24,[0]
39,2023-11-27,[0]
40,2023-11-28,[0]
41,2023-11-29,[0]
42,2023-11-30,[0]
43,2023-12-01,[0]
44,2023-12-04,[0]
45,2023-12-05,[0]
46,2023-12-06,[0]
47,2023-12-07,[0]
48,2023-12-08,[0]
49,2023-12-11,[0]
50,2023-12-12,[0]
51,2023-12-13,[0]
52,2023-12-14,[0]
53,2023-12-15,[0]
54,2023-12-18,[0]
55,2023-12-19,[0]
56,2023-12-20,[0]
57,2023-12-21,[0]
58,2023-12-22,[0]
59,2023-12-26,[0]
60,2023-12-27,[0]
61,2023-12-28,[0]
