,date,actions
0,2023-05-19,[-51]
1,2023-05-22,[51]
2,2023-05-23,[0]
3,2023-05-24,[-24]
4,2023-05-25,[24]
5,2023-05-26,[0]
6,2023-05-30,[0]
7,2023-05-31,[0]
8,2023-06-01,[-78]
9,2023-06-02,[77]
10,2023-06-05,[0]
11,2023-06-06,[0]
12,2023-06-07,[0]
13,2023-06-08,[0]
14,2023-06-09,[-64]
15,2023-06-12,[-84]
16,2023-06-13,[100]
17,2023-06-14,[47]
18,2023-06-15,[-25]
19,2023-06-16,[25]
20,2023-06-20,[0]
21,2023-06-21,[-100]
22,2023-06-22,[-100]
23,2023-06-23,[100]
24,2023-06-26,[86]
25,2023-06-27,[-100]
26,2023-06-28,[100]
27,2023-06-29,[12]
28,2023-06-30,[-100]
29,2023-07-03,[100]
30,2023-07-05,[-100]
31,2023-07-06,[-76]
32,2023-07-07,[62]
33,2023-07-10,[-45]
34,2023-07-11,[100]
35,2023-07-12,[-100]
36,2023-07-13,[100]
37,2023-07-14,[61]
38,2023-07-17,[-100]
39,2023-07-18,[-100]
40,2023-07-19,[81]
41,2023-07-20,[100]
42,2023-07-21,[-100]
43,2023-07-24,[100]
44,2023-07-25,[-1]
45,2023-07-26,[18]
46,2023-07-27,[0]
47,2023-07-28,[0]
48,2023-07-31,[0]
49,2023-08-01,[0]
50,2023-08-02,[-70]
51,2023-08-03,[71]
52,2023-08-04,[-677]
53,2023-08-07,[100]
54,2023-08-08,[100]
55,2023-08-09,[100]
56,2023-08-10,[-99]
57,2023-08-11,[100]
58,2023-08-14,[100]
